Account Number,Account Name,Symbol,Description,Quantity,Last Price,Current Value,Cost Basis Total,Average Cost Basis
007-1234567,ROLLOVER IRA,FDRXX**,HELD IN MONEY MARKET,,,$2348.11,,
007-1234567,ROLLOVER IRA,AAPL,Apple,5000,260,1300000,995000,199
007-1234567,ROLLOVER IRA,MINDX,MATTHEWS INDIA FUND,1216,$23.35,$28393.60,$5994.88,$4.93
007-1234567,ROLLOVER IRA,FICDX,FIDELITY CANADA,635,$79.42,$50431.70,$14979.65,$23.59
007-1234567,ROLLOVER IRA,QQQ,INVESCO QQQ TR UNIT SER 1,3000,$621.26,$1863780.00,$1565730.00,$521.91
007-1234567,ROLLOVER IRA,FBGRX,FIDELITY BLUE CHIP GROWTH,1250,$268.21,$335262.50,$16487.50,$13.19
009-9876543,ROTH IRA,SPAXX**,HELD IN MONEY MARKET,,,0,0,
009-9876543,ROTH IRA,ARM,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS,1000,$105.78,$105780.00,$138590.00,$138.59
009-9876543,ROTH IRA,QQQ,INVESCO QQQ TR UNIT SER 1,200,$621.26,$124252.00,$104382.00,$521.91
009-9876543,ROTH IRA,GOOGL,ALPHABET INC CAP STK CL A,600,$330.00,$198000.00,$116076.00,$193.46
